RARITY;1STBONUS_VALUE;1STBONUS_NAME;2NDBONUS_VALUE;2NDBONUS_NAME;PERK_NAME;COMPATIBLE_ITEMS
Legendary;7.5%;DAMAGE;12%;RANGE;Reach_Mortar_Damage;All_Mortars
Legendary;10%;RANGE;8%;COOL_DOWN;Quickshot_Mortar_Range;All_Mortars
Legendary;12%;FROST_DAMAGE;7.5%;DAMAGE;Strike_Damage_Frozen;All_Mortars
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_Frozen;Big_Berta
Legendary;12%;FROST_DAMAGE;12%;RANGE;Reach_Damage_Frozen;Big_Berta
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_Frozen;Standard_Mortar
Legendary;10%;RANGE;8%;COOL_DOWN;Quickshot_L.R.Mortar_Range;Long_Range_Mortar
Legendary;1.5s;DURATION;8%;COOL_DOWN;Quickshot_Fire_Duration;All_Incendiary_Items
Legendary;8%;DAMAGE;8%;COOL_DOWN;Quickshot_Fire_Damage;All_Incendiary_Items
Legendary;1.5s;DURATION;13%;PROJECTILE_SPEED;Speedy_Flare_Gun_Duration;Flare_Gun
Legendary;7.5%;DAMAGE;10%;PROJECTILE_SPEED;Speedy_Torpedo_Damage;Swift_Torpedo
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_to_Frozen_Targets;Triple_Torpedo
Legendary;6%;DAMAGE;8%;COOL_DOWN;Quickshot_Damage;Triple_Torpedo
Legendary;7.5%;DAMAGE;10%;PROJECTILE_SPEED;Speedy_Torpedo_Damage;Triple_Torpedo
Legendary;8%;PROJECTILE_SPEED;8%;COOL_DOWN;Quickshot_Torpedo_Speed;All_Torpedoes
Legendary;7.5%;DAMAGE;10%;PROJECTILE_SPEED;Speedy_Torpedo_Damage;Big_Torpedo
Legendary;12%;FIRE_DAMAGE;12%;RANGE;Reach_Fire_Damage;Blast_Cannon
Legendary;4%;COOL_DOWN;12%;RANGE;Reach_Missile_Cooldown;Missiles
Legendary;6%;DAMAGE;8%;COOL_DOWN;Quickshot_Sniper_Damage;Sniper_Cannon
Legendary;12%;FIRE_DAMAGE;8%;COOL_DOWN;Quickshot_Fire_Damage;Sniper_Cannon
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Cannon_Damage;All_Cannons
Legendary;4.5%;CRITICAL_HIT_CHANCE;8%;DAMAGE;Strike_Cannon_Critical_Hit;All_Cannons
Legendary;8%;DAMAGE;12%;RANGE;Reach_Cannon_Damage;All_Cannons
Legendary;8%;DAMAGE;12%;RANGE;Reach_Gatling_Gun_Damage;Gatling_Gun
Legendary;8%;DAMAGE;25%;STUN_CHANCE;Shock_Railgun_Damage;Railguns
Legendary;8%;COOL_DOWN;25%;STUN_CHANCE;Shock_Railgun_Cooldown;Railguns
Legendary;8%;COOL_DOWN;10%;FROST_DAMAGE;Frost_Railgun_Cooldown;Railguns
Legendary;12%;FROST_DAMAGE;10%;PROJECTILE_SPEED;Speedy_Damage_to_Frozen_Targets;Standard_Torpedo
Legendary;12%;FIRE_DAMAGE;12%;RANGE;Reach_Fire_Damage;Explosive_Cannon
Legendary;7.5%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Napalm_Damage;Napalm
Legendary;1.5s;DURATION;13%;PROJECTILE_SPEED;Speedy_Napalm_Duration;Napalm
Legendary;8%;DAMAGE;12%;RANGE;Reach_Fire_Damage;Fire_Bomb
Legendary;6%;COOL_DOWN;13%;PROJECTILE_SPEED;Speedy_Fire_bomb_Cooldown;Fire_Bomb
Legendary;8%;DAMAGE;12%;RANGE;Reach_Missile_Damage;All_Missiles
Legendary;7.5%;DAMAGE;20%;CRITICAL_HIT_CHANCE;Wildfire_Torpedo_Damage;All_Torpedoes
Legendary;12%;FIRE_DAMAGE;12%;RANGE;Reach_Fire_Damage;Cannon
Legendary;10%;DAMAGE;12%;RANGE;Reach_Mine_Damage;Mines
Legendary;10%;RANGE;8%;COOL_DOWN;Quickshot_Mine_Damage;Mines
Legendary;6%;COOL_DOWN;12%;RANGE;Reach_Mine_Cooldown;Mines
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_Frozen;Swift_Torpedo
Legendary;12%;CRITICAL_HIT_CHANCE;12%;RANGE;Reach_Fire_Grenades;Grenades
Legendary;8%;COOL_DOWN;12%;RANGE;Reach_Grenade_Cooldown;Grenades
Legendary;10%;DAMAGE;12%;RANGE;Reach_Grenade_Damage;Grenades
Legendary;12%;CRITICAL_HIT_CHANCE;10%;DAMAGE;Strike_Fire_Grenade;Grenades
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Gat_Damage;Gatling_Gun
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Flare_Gun_Damage;Flare_Gun
Legendary;10%;FIRE_DAMAGE;8%;COOL_DOWN;Scorch_Cannon_Cooldown;All_Cannons
Legendary;8%;DAMAGE;5%;COOL_DOWN;Quickshot_Missile_Damage;All_Missiles
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_to_Frozen_Targets;Ballpark_Mortar
Legendary;6%;COOL_DOWN;12%;RANGE;Reach_Item_Cooldown;Carronade
Legendary;9;DAMAGE;8%;COOL_DOWN;Quickshot_Carronade_Damage;Carronade
Legendary;9;DAMAGE;12%;RANGE;Reach_Carronade_Damage;Carronade
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Missile_Damage;All_Missiles
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_to_Frozen_Targets;Big_Torpedo
Legendary;6%;COOL_DOWN;13%;PROJECTILE_SPEED;Speedy_Flare_Gun_Cooldown;Flare_Gun
Legendary;12%;FIRE_DAMAGE;13%;PROJECTILE_SPEED;Speedy_Gatling_Gun_Fire_Damage;Gatling_Gun
